Marie,259943
Anna,114503
Margrethe,102041
Karen,83320
Kirstine,74209
Kirsten,68733
Johanne,67097
Elisabeth,65803
Else,59911
Anne,59278
Inger,55050
Mette,52922
Louise,51558
Maria,50337
Ellen,49325
Kristine,48844
Hanne,48488
Sofie,47001
Inge,43585
Susanne,40863
Helle,37673
Grethe,37237
Marianne,36494
Lene,35530
Gerda,34119
Birthe,33832
Charlotte,33806
Bente,33327
Birgit,33312
Tove,32803
Edith,32166
Ruth,31594
Kathrine,30431
Pia,29411
Lone,29237
Christine,28677
Camilla,28210
Emilie,28159
Jytte,27883
Jette,27767
Birgitte,27522
Helene,26376
Bodil,26334
Julie,26310
Lis,25805
Katrine,25573
Lise,25496
Ulla,25468
Gitte,25162
Ingeborg,25154
Eva,24847
Tina,24817
Gudrun,24389
Irene,24029
Cecilie,23517
Ane,22629
Christina,22570
Vibeke,22519
Ingrid,22489
Annette,22123
Ida,22062
Rikke,21954
Emma,21325
Laura,21161
Karin,20500
Agnes,20324
Erna,20136
Mary,20092
Pernille,20069
Mathilde,19799
Anette,19586
Aase,19398
Dorthe,18855
Lisbeth,18837
Astrid,18809
Helga,18555
Esther,18221
Heidi,17830
Signe,17799
Line,17596
Inga,17539
Amalie,17458
Jensine,17250
Henriette,17036
Dorthea,16825
Elise,16458
Merete,16409
Alice,16363
Ella,15716
Sonja,15367
Rigmor,15254
Hansine,15205
Karoline,15161
Maren,15006
Lilly,14963
Margit,14860
Elly,14735
Jenny,14727
Martha,14454
Dorte,14270
Valborg,14188
Olga,14062
Caroline,13921
Karina,13854
Frederikke,13755
Trine,13738
Anni,13434
Rita,13247
Lykke,13236
Jane,13192
Malene,13019
Maja,12948
Elna,12757
Sara,12537
Nanna,12485
Agnete,12466
Linda,12160
Andrea,12160
Stine,11994
Dagmar,11987
Dagny,11875
Nina,11679
Asta,11645
Nielsine,11558
Sigrid,11429
Mona,11413
Cathrine,11219
Anja,11189
Solveig,11181
Jonna,10706
Lillian,10593
Anita,10243
Grete,10098
Ebba,10068
Lotte,9959
Ester,9948
Mia,9801
Rosa,9733
Viola,9636
Jeanette,9471
Henny,9397
Annelise,9297
Britta,9125
Petra,9088
Sarah,9025
Gurli,9003
Birte,8910
Vera,8811
Ann,8749
Sophie,8373
Vilhelmine,8349
Tine,8316
Agnethe,8310
Laila,8307
Michelle,8198
Connie,8195
Ketty,8172
Karla,8169
Joan,8163
Augusta,8154
Alma,7998
Petrea,7990
Betty,7808
Oda,7792
Kristina,7748
Edel,7627
Ragnhild,7626
Ditte,7594
Bettina,7587
Magdalene,7400
Annie,7356
Clara,7241
Lisa,7214
Eleonora,7200
Doris,7051
Lilian,7043
Simone,6944
Mie,6940
Lena,6931
Elin,6830
Olivia,6763
Magda,6685
Berit,6530
Carla,6483
Thora,6334
Josefine,6317
Frida,6297
Yvonne,6292
Tanja,6264
Vivi,6223
Mariane,6203
Kamilla,6081
Emmy,6078
Betina,6057
Gunhild,6002
Elsebeth,5987
Sanne,5836
Margrete,5832
Anny,5827
Elvira,5817
Randi,5794
Lydia,5743
Klara,5719
Minna,5718
Susan,5596
Amanda,5557
Martine,5522
Rasmine,5509
Lea,5457
Janne,5307
Oline,5290
Lærke,5287
Hedvig,5248
Carina,5226
Jannie,5206
Sørine,5195
Lilli,5162
Freja,5155
Kristiane,5139
Conny,5125
Nicoline,5107
Bertha,5071
Meta,5004
Christiane,4974
Victoria,4965
Gertrud,4959
Kamma,4959
Harriet,4889
Ingelise,4861
Elisa,4855
Britt,4843
Kate,4817
Nikoline,4793
Lissi,4791
Petrine,4788
Sandra,4786
Herdis,4740
Helena,4726
Irma,4506
Liselotte,4491
Isabella,4416
Jørgine,4401
Janni,4293
Katja,4257
Diana,4190
Josephine,4183
Helen,4177
Iben,4171
Juliane,4118
Hilda,4104
Winnie,4020
Marlene,3955
M,3852
Anne-Marie,3837
Vita,3728
Poula,3708
Dora,3708
Ninna,3699
Therese,3533
Nadia,3526
Thi,3519
Majbritt,3516
Eline,3420
Krista,3403
Anine,3380
Maiken,3370
Thea,3348
Anne-Mette,3316
Kaja,3305
Iris,3283
Thyra,3273
Metha,3244
Solvejg,3144
Pouline,3120
Ina,3081
Sofia,3062
K,3060
Laurine,3042
Ellinor,3016
Mai,2996
Liv,2993
Christa,2963
Annalise,2932
Elsa,2916
Lizzie,2911
Ilse,2900
Alfrida,2880
Rebecca,2860
Lisbet,2833
Mille,2832
Hanna,2827
Theodora,2823
Nancy,2801
Benedikte,2770
Alberte,2731
Annika,2694
Yrsa,2692
Rose,2692
Vivian,2676
Alexandra,2637
Sabrina,2635
Anne-Lise,2629
Inge-Lise,2629
Sine,2627
Paula,2621
Bolette,2610
Sidsel,2584
Viktoria,2563
Alvilda,2562
Maj-Britt,2555
Ragna,2542
Lissy,2475
Monica,2467
Selma,2461
Johanna,2457
Elinor,2450
Merethe,2427
Maj,2423
Rebekka,2417
Pauline,2414
Bitten,2398
Agathe,2365
Conni,2331
Stephanie,2320
Matilde,2314
Jeanne,2301
Dorrit,2284
Evelyn,2283
Stella,2265
Annemette,2265
Hertha,2247
