Møller,16280
Lund,10272
Holm,8806
Juul,7312
Kjær,7073
Jensen,6149
Skov,5593
Østergaard,5463
Nielsen,5447
Nørgaard,5394
Vestergaard,5374
Dahl,5209
Bach,4676
Friis,4619
Søndergaard,4037
Hansen,4015
Bruun,3913
Bech,3908
Nygaard,3735
Krogh,3576
Bang,3554
Winther,3469
Schmidt,3315
Hedegaard,3120
Toft,3058
Pedersen,3057
Andersen,2989
Holst,2961
Munk,2949
Damgaard,2879
Skovgaard,2849
Søgaard,2671
Aagaard,2623
Dam,2613
Christensen,2610
Berg,2590
Juhl,2560
Lind,2560
Brandt,2535
Overgaard,2477
Juel,2250
Schou,2181
Bak,2176
Sørensen,2156
Bjerregaard,2073
Riis,2046
Vinther,2030
Bundgaard,2026
Mølgaard,2026
Kruse,2004
Hjorth,1972
Ravn,1968
Steen,1794
Bay,1725
Petersen,1710
Dalsgaard,1698
Larsen,1688
Kjærgaard,1651
Hougaard,1644
Bonde,1607
Haugaard,1587
Bjørn,1582
Due,1578
Munch,1575
Bjerre,1549
Sloth,1459
Leth,1451
Kragh,1427
Højgaard,1409
Kristensen,1406
Birk,1381
Rasmussen,1381
Kofoed,1371
Mohamed,1361
Hjort,1360
Dalgaard,1357
Beck,1350
Ingemann,1311
Kirkegaard,1308
Rask,1277
Bøgh,1274
Høj,1274
Jørgensen,1269
Brix,1262
Storm,1243
Bisgaard,1234
Birch,1228
Gade,1193
Høgh,1172
Buch,1172
Hald,1151
Vedel,1149
Frost,1141
Borup,1141
Kjærsgaard,1140
Koch,1136
Hvid,1130
Bøgelund,1128
Lindberg,1124
Bæk,1115
Thorup,1110
Kirk,1071
Sommer,1064
Falk,1059
Elkjær,1053
Skou,1046
Nedergaard,1041
Brink,1037
Bjerg,1036
Madsen,1030
Sand,997
Boye,996
Fischer,996
Meldgaard,987
Lindegaard,985
Hoffmann,984
Valentin,979
Hartmann,977
Daugaard,962
Lundgaard,953
Gram,946
Brøndum,944
Ahmed,942
Schultz,929
Thomsen,928
Korsgaard,920
Rye,917
Lindholm,910
Sonne,909
Bloch,909
Fuglsang,908
Fogh,908
Busk,906
Damsgaard,901
Meyer,900
Holmgaard,899
Buus,896
Rahbek,896
Krog,896
Ellegaard,880
Tang,877
Egelund,877
Kvist,872
Skytte,866
Wulff,852
Nissen,848
Fabricius,845
Nørregaard,840
